# target|version|size|url|name
heltec_tracker_v2_companion_radio_usb|companion-v1.0.2|660624|https://github.com/MichTronics/MeshCoreNG/releases/download/companion-v1.0.2/heltec_tracker_v2_companion_radio_usb-nl-v1.0.2-bff9ec9.bin|heltec_tracker_v2_companion_radio_usb-nl-v1.0.2-bff9ec9.bin
heltec_tracker_v2_repeater|repeater-v1.0.2|1355824|https://github.com/MichTronics/MeshCoreNG/releases/download/repeater-v1.0.2/heltec_tracker_v2_repeater-nl-v1.0.2-bff9ec9.bin|heltec_tracker_v2_repeater-nl-v1.0.2-bff9ec9.bin
heltec_tracker_v2_repeater_bridge_espnow|bridge-espnow-v1.0.1|1366320|https://github.com/MichTronics/MeshCoreNG/releases/download/bridge-espnow-v1.0.1/heltec_tracker_v2_repeater_bridge_espnow-nl-v1.0.1-bff9ec9.bin|heltec_tracker_v2_repeater_bridge_espnow-nl-v1.0.1-bff9ec9.bin
heltec_tracker_v2_repeater_bridge_rs232|bridge-rs232-v1.0.2|1358208|https://github.com/MichTronics/MeshCoreNG/releases/download/bridge-rs232-v1.0.2/heltec_tracker_v2_repeater_bridge_rs232-nl-v1.0.2-bff9ec9.bin|heltec_tracker_v2_repeater_bridge_rs232-nl-v1.0.2-bff9ec9.bin
heltec_tracker_v2_repeater_bridge_tcp|bridge-tcp-v1.0.7|1360976|https://github.com/MichTronics/MeshCoreNG/releases/download/bridge-tcp-v1.0.7/heltec_tracker_v2_repeater_bridge_tcp-nl-v1.0.7-bff9ec9.bin|heltec_tracker_v2_repeater_bridge_tcp-nl-v1.0.7-bff9ec9.bin
heltec_tracker_v2_room_server|room-server-v1.0.2|1343872|https://github.com/MichTronics/MeshCoreNG/releases/download/room-server-v1.0.2/heltec_tracker_v2_room_server-nl-v1.0.2-bff9ec9.bin|heltec_tracker_v2_room_server-nl-v1.0.2-bff9ec9.bin
Heltec_v2_companion_radio_ble|companion-v1.0.2|1412576|https://github.com/MichTronics/MeshCoreNG/releases/download/companion-v1.0.2/Heltec_v2_companion_radio_ble-nl-v1.0.2-bff9ec9.bin|Heltec_v2_companion_radio_ble-nl-v1.0.2-bff9ec9.bin
Heltec_v2_companion_radio_usb|companion-v1.0.2|572752|https://github.com/MichTronics/MeshCoreNG/releases/download/companion-v1.0.2/Heltec_v2_companion_radio_usb-nl-v1.0.2-bff9ec9.bin|Heltec_v2_companion_radio_usb-nl-v1.0.2-bff9ec9.bin
Heltec_v2_repeater|repeater-v1.0.2|1314464|https://github.com/MichTronics/MeshCoreNG/releases/download/repeater-v1.0.2/Heltec_v2_repeater-nl-v1.0.2-bff9ec9.bin|Heltec_v2_repeater-nl-v1.0.2-bff9ec9.bin
Heltec_v2_repeater_bridge_espnow|bridge-espnow-v1.0.1|1325312|https://github.com/MichTronics/MeshCoreNG/releases/download/bridge-espnow-v1.0.1/Heltec_v2_repeater_bridge_espnow-nl-v1.0.1-bff9ec9.bin|Heltec_v2_repeater_bridge_espnow-nl-v1.0.1-bff9ec9.bin
